sample_id,source_file,mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,curve_rmse_uW,curve_mae_uW,area_error_J_g,tp_error_C,peak_height_error_uW,actual_area_J_g,pred_area_J_g,actual_tp_C,pred_tp_C,actual_peak_height_uW,pred_peak_height_uW,actual_width_C,pred_width_C,n_points_fit
single_eig_01_004,ps-single-01.xlsx,single_step,100.0,100.02,nan,nan,100.02,47.01996262362724,41.91732383706482,-0.20196704726650733,-0.10020775226107048,-3.7570700465183364,4.932648486182216,4.730681438915707,89.1521759033203,89.05196815105923,109.80922719106911,106.05215714455078,9.102884504319153,9.066564351751008,3582
kovacs_eig_01_001,ps-kovacs-01.xlsx,single_step,95.0,100.02,nan,nan,100.02,45.41701231285113,40.955434133270934,-0.7497423893474873,-0.34826085439408416,-16.020224625659694,5.386123101443951,4.636380712096464,89.3947830200195,89.04652216562542,120.03340663873303,104.01318201307333,9.223341403961514,9.063677504595539,3581
kovacs_eig_01_002,ps-kovacs-01.xlsx,two_step,65.0,10.000020000000001,100.0,1200.0,1210.00002,60.14663238544933,50.93259029218771,0.7271434844133824,-0.23118493210012048,15.464001247720148,4.94148577371721,5.668629258130593,89.5032806396484,89.27209570754827,110.39445049311439,125.85845174083454,9.278548146327068,9.203049027198503,3581
kovacs_eig_01_003,ps-kovacs-01.xlsx,two_step,50.0,10.000020000000001,80.0,1800.0,1810.00002,51.749012119764764,46.316392455991476,-1.3737060852024612,0.23490549523120308,-31.141233421966263,6.451272215675994,5.077566130473533,88.9385223388672,89.1734278340984,143.77060258400388,112.62936916203762,9.01426956700114,9.16852536225497,3582
kovacs_eig_01_004,ps-kovacs-01.xlsx,two_step,50.0,10.000020000000001,100.0,10.000020000000001,20.000040000000002,48.45857074182082,42.77508460749844,0.0013549705745237025,-0.43368112210654886,-0.2832037571400292,4.8620117982953985,4.863366768869924,89.4329147338867,88.99923361178016,109.72790516041243,109.4447014032724,9.219255481790844,9.028271159926813,3581
kovacs_eig_01_005,ps-kovacs-01.xlsx,two_step,50.0,1800.0,100.0,10.000020000000001,1810.00002,39.5229891904267,33.6310127271927,-0.5710224224354221,-3.749061218032395,-15.690730373361674,4.793275037332421,4.222252614896998,89.6304931640625,85.8814319460301,107.33333018345257,91.6425998100909,9.325180020877337,7.825248199101978,3582
kovacs_eig_01_006,ps-kovacs-01.xlsx,two_step,55.0,600.0,90.0,300.0,900.0,51.658766633951345,46.1385888783164,-0.81874909415278,0.7781162683124734,-17.21453536816412,5.927569275066488,5.108820180913707,89.4735412597656,90.25165752807807,132.93624671565124,115.72171134748712,9.242524133074125,9.60675041987175,3582
kovacs_eig_01_007,ps-kovacs-01.xlsx,two_step,50.0,10.000020000000001,70.0,1800.0,1810.00002,55.280271302048966,47.40277053308435,0.4340517673747598,3.1410790315997446,14.028571097877105,4.478003375965812,4.912055143340573,86.1455230712891,89.28660210288885,95.18710708233391,109.21567818021101,8.105581326278026,9.198465072006416,3582
kovacs_eig_01_008,ps-kovacs-01.xlsx,two_step,50.0,10.000020000000001,100.0,1800.0,1810.00002,65.40346837243493,54.24688545593952,1.0570841671537994,-0.16192007922798268,22.775063973850763,4.93730031765009,5.99438448480389,89.6235961914063,89.46167611217832,110.58298221599159,133.35804618984236,9.31910591131304,9.286120036750928,3582
kovacs_eig_01_009,ps-kovacs-01.xlsx,two_step,50.0,10.000020000000001,85.0,60.0,70.00002,52.754328244585864,45.703707354107934,0.2600430591021233,0.8962659855623798,8.510762149008897,4.6723492237187845,4.932392282820907,88.5735244750977,89.46979046066008,102.61017921798907,111.12094136699797,8.899990652425272,9.24967422988756,3582
kovacs_eig_01_010,ps-kovacs-01.xlsx,two_step,75.0,10.000020000000001,100.0,1800.0,1810.00002,56.193759627003864,48.55117283163975,0.4340396931662829,-0.8009027682122536,8.245166723340233,5.020534696402267,5.45457438956855,89.7903289794922,88.98942621127995,112.24595672866963,120.49112345200986,9.427148613539263,9.087316596674427,3582
kovacs_eig_03_001,ps-kovacs-03.xlsx,two_step,50.0,10.000020000000001,65.0,1200.0,1210.00002,51.449854500868675,44.41121082252929,0.43685729917317573,-0.7213938622618201,12.891048685893992,4.334119396324095,4.77097669549727,89.6224594116211,88.90106554935927,93.17285996842509,106.06390865431908,9.44170944524669,9.042555158530073,3582
kovacs_eig_03_002,ps-kovacs-03.xlsx,two_step,50.0,10.000020000000001,75.0,10.000020000000001,20.000040000000002,44.448833719074834,39.378580474317076,-0.11773887075037053,0.18290152997882103,-1.540147644280239,4.506400788061239,4.388661917310868,89.2220153808594,89.40491691083822,100.97196122042914,99.4318135761489,9.129694226767832,9.2081157704776,3582
kovacs_eig_03_003,ps-kovacs-03.xlsx,two_step,65.0,10.000020000000001,65.0,1800.0,1810.00002,47.45200281310856,41.69529871461503,0.14793391888646834,-0.3489704272771519,7.308415105404748,4.333785374769331,4.481719293655798,88.9386901855469,88.58971975826975,91.99112194297106,99.29953704837581,9.13463420511405,8.915974589749506,3581
kovacs_eig_03_004,ps-kovacs-03.xlsx,two_step,85.0,10.000020000000001,100.0,1200.0,1210.00002,53.44914657544562,46.832743492039484,0.20269876725379982,-0.2729868053422422,3.382701785528454,5.084922201707678,5.287620968961477,89.199592590332,88.92660578498976,113.28328801545103,116.66598980097949,9.113071062932177,9.066898416831096,3581
