grouping,group,n,n_train,n_test,delta_h_total_J_g_MAE,delta_h_total_J_g_RMSE,delta_h_total_J_g_Bias,delta_h_total_J_g_actual_std,peak_area_J_g_MAE,peak_area_J_g_RMSE,peak_area_J_g_Bias,peak_area_J_g_actual_std,recovery_index_MAE,recovery_index_RMSE,recovery_index_Bias,recovery_index_actual_std,path_dependence_index_MAE,path_dependence_index_RMSE,path_dependence_index_Bias,path_dependence_index_actual_std
exact_condition,two_step|T1=80.0|t1=49.98|T2=90.0|t2=499.98,1,1,0,0.13161470040785805,0.13161470040785805,0.13161470040785805,0.0,0.1053165504262159,0.1053165504262159,0.1053165504262159,0.0,0.033224926771754815,0.033224926771754815,-0.033224926771754815,0.0,0.07441263974796633,0.07441263974796633,0.07441263974796633,0.0
exact_condition,two_step|T1=80.0|t1=499.98|T2=90.0|t2=0.1002,1,1,0,0.058449991425145065,0.058449991425145065,0.058449991425145065,0.0,0.06179899551733392,0.06179899551733392,0.06179899551733392,0.0,0.021866598815152072,0.021866598815152072,-0.021866598815152072,0.0,0.10778680908211952,0.10778680908211952,-0.10778680908211952,0.0
exact_condition,two_step|T1=80.0|t1=499.98|T2=90.0|t2=0.4998,1,1,0,0.0241370188089004,0.0241370188089004,-0.0241370188089004,0.0,0.016684834381467173,0.016684834381467173,0.016684834381467173,0.0,0.05579670943105741,0.05579670943105741,0.05579670943105741,0.0,0.04254772807195062,0.04254772807195062,0.04254772807195062,0.0
exact_condition,two_step|T1=80.0|t1=499.98|T2=90.0|t2=0.7979999999999999,1,1,0,0.08452707136787685,0.08452707136787685,-0.08452707136787685,0.0,0.023370498621954505,0.023370498621954505,-0.023370498621954505,0.0,0.09853082929649037,0.09853082929649037,0.09853082929649037,0.0,0.009021099143639771,0.009021099143639771,-0.009021099143639771,0.0
exact_condition,two_step|T1=80.0|t1=499.98|T2=90.0|t2=1.0002,1,1,0,0.0019632669769286126,0.0019632669769286126,-0.0019632669769286126,0.0,0.00910039861951284,0.00910039861951284,0.00910039861951284,0.0,0.04761765547959251,0.04761765547959251,0.04761765547959251,0.0,0.004112550645503893,0.004112550645503893,-0.004112550645503893,0.0
exact_condition,two_step|T1=80.0|t1=499.98|T2=90.0|t2=10.020000000000001,1,1,0,0.016303423488785218,0.016303423488785218,0.016303423488785218,0.0,0.027465344179763207,0.027465344179763207,0.027465344179763207,0.0,0.022399214187872163,0.022399214187872163,0.022399214187872163,0.0,0.08241969173358421,0.08241969173358421,0.08241969173358421,0.0
exact_condition,two_step|T1=80.0|t1=499.98|T2=90.0|t2=100.02,1,1,0,0.04004616809639305,0.04004616809639305,0.04004616809639305,0.0,0.017699403587960738,0.017699403587960738,-0.017699403587960738,0.0,0.03332915949820503,0.03332915949820503,-0.03332915949820503,0.0,0.17361683477581952,0.17361683477581952,0.17361683477581952,0.0
exact_condition,two_step|T1=80.0|t1=499.98|T2=90.0|t2=1000.0200000000001,1,1,0,0.1628214029811752,0.1628214029811752,0.1628214029811752,0.0,0.1313521074008257,0.1313521074008257,0.1313521074008257,0.0,0.1453028650106063,0.1453028650106063,-0.1453028650106063,0.0,0.1511058172203883,0.1511058172203883,0.1511058172203883,0.0
exact_condition,two_step|T1=80.0|t1=499.98|T2=90.0|t2=4.998,1,1,0,0.05249026969748416,0.05249026969748416,-0.05249026969748416,0.0,0.013424652336816223,0.013424652336816223,-0.013424652336816223,0.0,0.07642643332885612,0.07642643332885612,0.07642643332885612,0.0,0.004993178847648105,0.004993178847648105,-0.004993178847648105,0.0
exact_condition,two_step|T1=80.0|t1=499.98|T2=90.0|t2=49.98,1,1,0,0.09479866703726825,0.09479866703726825,0.09479866703726825,0.0,0.03696939495731555,0.03696939495731555,0.03696939495731555,0.0,0.06088845409741572,0.06088845409741572,-0.06088845409741572,0.0,0.20385578997701792,0.20385578997701792,0.20385578997701792,0.0
exact_condition,two_step|T1=80.0|t1=499.98|T2=90.0|t2=499.98,1,1,0,0.11741937018041981,0.11741937018041981,0.11741937018041981,0.0,0.01906255091964537,0.01906255091964537,0.01906255091964537,0.0,0.10426525864794645,0.10426525864794645,-0.10426525864794645,0.0,0.04672933412216429,0.04672933412216429,0.04672933412216429,0.0
exact_condition,two_step|T1=85.0|t1=10.000020000000001|T2=100.0|t2=1200.0,1,1,0,0.16161813825434335,0.16161813825434335,-0.16161813825434335,0.0,0.17426667816065078,0.17426667816065078,-0.17426667816065078,0.0,0.0696208594411265,0.0696208594411265,-0.0696208594411265,0.0,0.12462647759923423,0.12462647759923423,-0.12462647759923423,0.0
exact_condition,two_step|T1=90.0|t1=49.98|T2=80.0|t2=0.1002,1,1,0,0.00029237736912690604,0.00029237736912690604,0.00029237736912690604,0.0,0.02730394776037448,0.02730394776037448,-0.02730394776037448,0.0,0.06595039474626213,0.06595039474626213,-0.06595039474626213,0.0,0.1955405200805337,0.1955405200805337,-0.1955405200805337,0.0
exact_condition,two_step|T1=90.0|t1=49.98|T2=80.0|t2=0.4998,1,1,0,0.12284153299112055,0.12284153299112055,-0.12284153299112055,0.0,0.0828354077895852,0.0828354077895852,-0.0828354077895852,0.0,0.06783715956160036,0.06783715956160036,0.06783715956160036,0.0,0.0936351038866274,0.0936351038866274,-0.0936351038866274,0.0
exact_condition,two_step|T1=90.0|t1=49.98|T2=80.0|t2=0.7979999999999999,1,1,0,0.15780602124505072,0.15780602124505072,-0.15780602124505072,0.0,0.09820375901779732,0.09820375901779732,-0.09820375901779732,0.0,0.10547286615067186,0.10547286615067186,0.10547286615067186,0.0,0.12095276699688176,0.12095276699688176,-0.12095276699688176,0.0
exact_condition,two_step|T1=90.0|t1=49.98|T2=80.0|t2=1.0002,1,1,0,0.07055311534672826,0.07055311534672826,-0.07055311534672826,0.0,0.08490421277820781,0.08490421277820781,-0.08490421277820781,0.0,0.05179915922826639,0.05179915922826639,0.05179915922826639,0.0,0.1266800486707456,0.1266800486707456,0.1266800486707456,0.0
exact_condition,two_step|T1=90.0|t1=49.98|T2=80.0|t2=10.020000000000001,1,1,0,0.2177791443528756,0.2177791443528756,-0.2177791443528756,0.0,0.11336182547651141,0.11336182547651141,-0.11336182547651141,0.0,0.20915503257090373,0.20915503257090373,0.20915503257090373,0.0,0.16698103904040884,0.16698103904040884,-0.16698103904040884,0.0
exact_condition,two_step|T1=90.0|t1=49.98|T2=80.0|t2=100.02,1,1,0,0.1950614498913299,0.1950614498913299,-0.1950614498913299,0.0,0.11437874827181149,0.11437874827181149,-0.11437874827181149,0.0,0.21498349247415238,0.21498349247415238,0.21498349247415238,0.0,0.14668814881887132,0.14668814881887132,-0.14668814881887132,0.0
exact_condition,two_step|T1=90.0|t1=49.98|T2=80.0|t2=1000.0200000000001,1,1,0,0.15097720291840833,0.15097720291840833,0.15097720291840833,0.0,0.09672382010186431,0.09672382010186431,0.09672382010186431,0.0,0.0702761805869786,0.0702761805869786,-0.0702761805869786,0.0,0.1279780403257904,0.1279780403257904,0.1279780403257904,0.0
exact_condition,two_step|T1=90.0|t1=49.98|T2=80.0|t2=4.998,1,1,0,0.0968317768082041,0.0968317768082041,-0.0968317768082041,0.0,0.044453120351184205,0.044453120351184205,-0.044453120351184205,0.0,0.11123996746867287,0.11123996746867287,0.11123996746867287,0.0,0.10034006171310247,0.10034006171310247,-0.10034006171310247,0.0
exact_condition,two_step|T1=90.0|t1=49.98|T2=80.0|t2=49.98,1,1,0,0.21664517877152922,0.21664517877152922,-0.21664517877152922,0.0,0.1064020826392682,0.1064020826392682,-0.1064020826392682,0.0,0.2292446784019635,0.2292446784019635,0.2292446784019635,0.0,0.22551238752366037,0.22551238752366037,-0.22551238752366037,0.0
