mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_total,eig_score,nearest_existing_distance,eig_delta_h_total_J_g,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,eig_peak_area_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,eig_peak_temperature_Tp_C,pred_peak_temperature_Tp_C,uncertainty_peak_temperature_Tp_C,eig_peak_height_uW,pred_peak_height_uW,uncertainty_peak_height_uW,eig_recovery_index,pred_recovery_index,uncertainty_recovery_index,eig_path_dependence_index,pred_path_dependence_index,uncertainty_path_dependence_index
two_step,55,1200,65,900,2100,50,1.7435302488288151,2.0941029554276884,2.9214392216572778,0.6880814533510101,-1.1533450264272769,0.3440743398461202,0.8569230015361167,-1.9601720275961205,0.27730760777962665,0.003895825517144122,104.66228946425099,0.4422127581638241,0.30508263828964416,-194.4816226381802,45.84581780615217,0.3708684403687197,0.763157622911203,0.22629435406577925,0.41950212410524235,-0.2589447148972114,0.22926505169359737
two_step,55,1200,55,900,2100,51,1.6522351368850443,2.093646137623113,3.678425006150574,0.6489211783398028,-1.1452167616615343,0.3262752316129086,0.8101323066438082,-1.9617850080816785,0.26176292056128947,0.002951580569978275,104.73535725849452,0.3847277976445895,0.28445590104046964,-194.59518622085588,43.77053442376839,0.3491946849083284,0.7687367514217862,0.21693578835880892,0.4109543638006644,-0.22554987477599145,0.22581742553337006
two_step,50,600,60,600,1200,52,1.7049007877587705,2.090363084006387,3.2121858020634715,0.6830750433358361,-0.9869820948926739,0.3417735544795715,0.8751242320150449,-1.8044605009855808,0.2835082927281312,0.0036057149930055054,104.64733409222318,0.4253673402136746,0.27117583500028714,-172.51843963659974,42.427794334199255,0.36140421803404393,0.6768481634518663,0.22220644581718849,0.381524323643492,-0.1475747164618879,0.2139911229409399
two_step,50,600,60,900,1500,53,1.6881105900592073,2.0889701962894986,3.340496718585762,0.6535798277587652,-1.0322856978401458,0.32836941623085725,0.8354863459083418,-1.8451629109357386,0.2701166456960238,0.0038931785600555186,104.65651640671281,0.44206191958290914,0.28561007681997785,-173.77930874175829,43.88695494461531,0.36771926668694394,0.713285088947632,0.22493379725960208,0.40705843803347846,-0.15375519949412536,0.22424820364584216
two_step,95,100,50,100,200,54,1.5467792235497035,2.0877439637131907,4.508039501362393,0.6051996923835387,-0.9662587030078061,0.3069087324092051,0.7768966318724189,-1.8341377304577515,0.25105069987386214,0.003495226270994944,104.96576281935847,0.41877627643139864,0.22130561010604774,-179.9732640607682,37.30840981397133,0.3362212834054575,0.6677958881947309,0.21133602216883074,0.38243625215517135,-0.07088557433216905,0.21435674979815547
two_step,60,600,65,900,1500,55,1.7664986432856384,2.087403744608345,2.674209177689219,0.6992263765530629,-1.1159142122831684,0.34922373474945617,0.8549415646337503,-1.9426610807395368,0.276637902813604,0.003135959350105548,104.78442661311588,0.3965989273360692,0.3030459118742084,-192.65222720707982,45.64133831935873,0.37599654553582323,0.7320697889722348,0.22851073203741024,0.4405859385877553,-0.23165956732689003,0.23780047441853872
two_step,55,1200,60,1800,3000,56,1.6975309607390345,2.086689062793314,3.242984183785662,0.6640986433761762,-1.160619632471555,0.33312060222352885,0.8309970712120829,-1.9714012902538747,0.26862571393122736,0.0030013179020670945,104.7128799806962,0.3879654534896762,0.31014204036791837,-195.15438773176538,46.35343036143388,0.3538138946387181,0.7688285921433796,0.21892958368954124,0.4229865042348705,-0.25368323541185706,0.23067241352705578
two_step,60,300,70,300,600,57,1.8026146880652698,2.086561582609587,2.3662241212026407,0.7301296564842776,-1.0369224573667348,0.3637073694210101,0.8791996739090625,-1.8714886854619024,0.28490890713412875,0.0037372153298146226,104.80052978831536,0.43308295806130476,0.2786814147006821,-183.58091783340961,43.18743337408099,0.38988867878466094,0.6783686290075712,0.23452166967754004,0.43275517875342123,-0.18329523145495172,0.2346246787972004
two_step,60,600,60,600,1200,58,1.7163514843072583,2.0861250425860285,3.0814463189897534,0.6863542317332799,-1.1116229546090786,0.34327970499405475,0.837365432798123,-1.9413708528304439,0.270742236201564,0.0032707294497993167,104.78411433498951,0.40505866768007404,0.2651758227050548,-194.14703676661938,41.81895011294474,0.36752885027773413,0.7371713772920337,0.2248515418919979,0.4287808324924885,-0.20351077697629671,0.2330154961021612
two_step,55,1200,55,1200,2400,59,1.6482336794529364,2.0855372555380383,3.6441964673758505,0.6572782045528135,-1.1604731175466205,0.33003630624773167,0.8155066415291101,-1.9765913251377571,0.263520261571403,0.0029713302452914997,104.71506874421598,0.3860166164553036,0.264645981127018,-198.62698770336567,41.76511182099026,0.34632626805907873,0.7726461752092034,0.21569774869300826,0.40712204440396965,-0.23372237441772672,0.2242738131356385
