sample_id,source_file,pair,T1_C,T2_C,actual_t1_s,actual_t2_s,pred_t1_s,pred_t2_s,abs_log_error_t1,abs_log_error_t2,t1_factor_error,t2_factor_error,top1_time_near_match,top5_time_near_match,top10_time_near_match,posterior_contains_actual_t1,posterior_contains_actual_t2,posterior_width_log10_t1,posterior_width_log10_t2,posterior_n_valid_candidates,loss_flatness_ratio,best_loss,target_delta_h_total_J_g,best_pred_delta_h_total_J_g,best_error_delta_h_total_J_g,target_peak_area_J_g,best_pred_peak_area_J_g,best_error_peak_area_J_g,target_recovery_index,best_pred_recovery_index,best_error_recovery_index,target_path_dependence_index,best_pred_path_dependence_index,best_error_path_dependence_index
kovacs_80_to_90_015,pskovacs.xlsx,80->90,80.0,90.0,499.98,4.998,499.98,0.798,0.0,0.7967933604397018,1.0,6.2631578947368425,False,True,True,True,True,0.9778151250383642,3.4064606801625152,23,2.0055875735305615,0.16186374130000977,-0.907013810482487,-0.8730942624454896,0.03391954803699737,-1.8166083193304983,-1.7955254387410708,0.021082880589427422,0.5758989808991881,0.5561040404905129,-0.019794940408675243,-0.18967958737716795,-0.19910313573732163,-0.009423548360153688
kovacs_80_to_90_016,pskovacs.xlsx,80->90,80.0,90.0,499.98,10.020000000000001,600.0,0.4998,0.07919861817434537,1.3020714697407958,1.2000480019200768,20.048019207683076,False,True,True,True,True,1.071419498733891,2.7580043389732016,23,4.868459647948104,0.08242969378779044,-0.9646127440642922,-0.9611094414319048,0.003503302632387406,-1.8502832400702394,-1.8649784163545795,-0.014695176284340139,0.6124708244227131,0.613983938941319,0.001513114518605918,-0.24727852095897318,-0.26519742871510976,-0.01791890775613658
kovacs_80_to_90_017,pskovacs.xlsx,80->90,80.0,90.0,499.98,49.98,600.0,4.998,0.07919861817434537,0.9999999999999999,1.2000480019200768,9.999999999999998,False,False,True,True,True,0.7781382228518958,2.7478440069951864,24,2.6932670158060663,0.15452389038589173,-1.0356919045869568,-1.0030283078197981,0.03266359676715869,-1.858551158392303,-1.8759647091555858,-0.01741355076328288,0.6576017977718369,0.6506036919790951,-0.006998105792741849,-0.3183576814816378,-0.33990352590300593,-0.021545844421368143
kovacs_80_to_90_018,pskovacs.xlsx,80->90,80.0,90.0,499.98,100.02,600.0,10.02,0.07919861817434537,0.9992191286804222,1.2000480019200768,9.982035928143713,False,False,True,True,True,0.7781425653624785,2.979835716462837,23,3.693613488572899,0.1389810129111253,-1.067731707374831,-1.0284748855798376,0.039256821794993346,-1.8678197800108083,-1.888054169440018,-0.02023438942920963,0.6779451371570798,0.6654898401526846,-0.012455297004395183,-0.3503974842695119,-0.34933756042673414,0.0010599238427777546
kovacs_80_to_90_019,pskovacs.xlsx,80->90,80.0,90.0,499.98,499.98,600.0,300.0,0.07919861817434537,0.22183137748963544,1.2000480019200768,1.6666,True,True,True,True,True,1.199672560457501,1.3724494943978722,23,3.97800576890096,0.08627577273452405,-1.39816464649038,-1.3881965060262527,0.009968140464127417,-2.1123785206478445,-2.134936040842218,-0.022557520194373737,0.8877500934795641,0.8847398675560914,-0.0030102259234727757,-0.3892093594480046,-0.3931700130172475,-0.003960653569242911
kovacs_80_to_90_020,pskovacs.xlsx,80->90,80.0,90.0,499.98,1000.0200000000001,300.0,1800.0,0.22183137748963544,0.25526381930052544,1.6666,1.7999640007199855,True,True,True,True,True,1.0791725610264598,1.4549363797580268,23,6.5135745513436865,0.08428909710288798,-1.5749529701655454,-1.5876356011809578,-0.012682631015412449,-2.347723840368177,-2.3370774306934905,0.010646409674686552,1.0,1.0036050709996553,0.0036050709996553465,-0.5659976831231699,-0.5513447697354618,0.014652913387708133
twostep_90_to_80_001,twosteps.xlsx,90->80,90.0,80.0,49.98,0.1002,10.02,30.0,0.6979285302592042,2.4762535331884354,4.9880239520958085,299.4011976047904,False,False,False,False,False,0.7783250029292311,0.6987962517904311,23,5.953619453288127,0.04586725490873872,-0.6181911738240923,-0.6191112668308956,-0.0009200930068032909,-1.569261002770586,-1.5629390193358428,0.006321983434743217,0.4255567761092365,0.43609765956252866,0.010540883453292182,0.17850233783714464,0.1732412167707183,-0.005261121066426344
twostep_90_to_80_002,twosteps.xlsx,90->80,90.0,80.0,49.98,0.4998,60.0,0.1002,0.07935499859321249,0.6979285302592043,1.2004801920768309,4.9880239520958085,False,True,True,True,True,0.7781512503836436,1.999132278468773,23,3.532593553863636,0.07080292401354987,-0.5775784788301425,-0.5854970845058058,-0.007918605675663382,-1.5466990414024093,-1.5451804011294654,0.0015186402729439052,0.3975993928877624,0.4058035449721523,0.008204152084389904,0.04678454523451503,0.027519716243586408,-0.01926482899092862
twostep_90_to_80_003,twosteps.xlsx,90->80,90.0,80.0,49.98,0.7979999999999999,49.98,0.1002,0.0,0.9011351698195025,1.0,7.964071856287425,False,True,True,True,True,0.9999999999999999,1.999132278468773,23,1.9228870059089866,0.09320590001418666,-0.5659452724693642,-0.5651484525740396,0.0007968198953246519,-1.5406298601978647,-1.5278283559075319,0.012801504290332888,0.38959120706381706,0.39731955612563724,0.007728349061820183,0.06603812181388657,0.04348123012119231,-0.022556891692694266
twostep_90_to_80_004,twosteps.xlsx,90->80,90.0,80.0,49.98,1.0002,60.0,4.998,0.07935499859321249,0.6987094015787824,1.2004801920768309,4.997000599880025,False,True,True,True,True,0.30129059842121797,1.9999132278468772,23,0.2002828962410735,0.4530545270716625,-0.6643395635740381,-0.6564417432186036,0.007897820355434515,-1.55837634193387,-1.582784940435225,-0.024408598501354906,0.457324877622455,0.4480628927322712,-0.009261984890183816,-0.18536446822646313,-0.010916457630185665,0.17444801059627746
twostep_90_to_80_005,twosteps.xlsx,90->80,90.0,80.0,49.98,4.998,60.0,30.0,0.07935499859321249,0.7783250029292311,1.2004801920768309,6.002400960384153,False,False,False,True,True,0.30129059842121797,2.279018873247933,23,1.6710558979461887,0.11235102138059658,-0.7158199465516587,-0.7087280680683863,0.007091878483272418,-1.6306477172909464,-1.6152876949466808,0.01536002234426559,0.4927634712816051,0.4838298796634418,-0.008933591618163261,0.01756178098751815,0.040237868355937255,0.022676087368419105
twostep_90_to_80_006,twosteps.xlsx,90->80,90.0,80.0,49.98,10.020000000000001,30.0,10.02,0.22167499707076876,0.0,1.666,1.0000000000000002,True,True,True,True,True,0.7780644782305208,1.977832500292923,23,1.1522556959249055,0.13937696579001635,-0.6283984548358714,-0.6073284475643247,0.02107000727154673,-1.5767591146383537,-1.5367175908511894,0.0400415237871643,0.4325833688270577,0.43206755501781824,-0.0005158138092394848,0.07600656170047582,0.07758901987045752,0.0015824581699817042
twostep_90_to_80_007,twosteps.xlsx,90->80,90.0,80.0,49.98,49.98,10.0,60.0,0.6987962517904311,0.07935499859321249,4.997999999999999,1.2004801920768309,False,True,True,True,True,1.7081934600141164,1.2234494131071298,23,2.3554511721765072,0.07942887771817442,-0.7031938790674884,-0.6931939182823326,0.00999996078515586,-1.6266899153221221,-1.6240407647298198,0.0026491505923023073,0.48407180954165585,0.4849750191672168,0.0009032096255609523,0.1362559495020571,0.1624802937674446,0.0262243442653875
twostep_90_to_80_008,twosteps.xlsx,90->80,90.0,80.0,49.98,100.02,60.0,60.0,0.07935499859321249,0.22193559982800548,1.2004801920768309,1.667,True,True,True,True,True,1.034174436361777,0.5229655954919867,24,34.79735759969176,0.00922838448904816,-0.747181432056476,-0.7458346983244102,0.0013467337320658412,-1.640884302634818,-1.6402815573983165,0.0006027452365016117,0.5143524120988421,0.5111498204654876,-0.003202591633354457,0.08047838811152397,0.08041151813291902,-6.686997860494426e-05
twostep_90_to_80_009,twosteps.xlsx,90->80,90.0,80.0,49.98,499.98,30.0,499.98,0.22167499707076876,0.0,1.666,1.0,True,True,True,True,True,2.8992972158123798,2.6303609597211928,23,1.190673647532023,0.23902504074720662,-0.9574425980140929,-0.9960494489541761,-0.038606850940083204,-1.8304893774114754,-1.8627650043535056,-0.03227562694203012,0.659094148497935,0.7122315670584852,0.05313741856055021,0.021534513966642188,0.018928662338925893,-0.002605851627716295
twostep_90_to_80_010,twosteps.xlsx,90->80,90.0,80.0,49.98,1000.0200000000001,60.0,900.0,0.07935499859321249,0.04576617636345581,1.2004801920768309,1.1111333333333335,True,True,True,True,True,1.271170223600261,0.6020599913279621,23,7.370427680240863,0.06866859018859789,-1.1029075061177083,-1.089290700524312,0.013616805593396286,-1.9503498543463131,-1.9479304857226922,0.00241936862362091,0.7592307728154082,0.7450543309009093,-0.01417644191449885,0.022599329345297736,0.014776246409431947,-0.00782308293586579
