sample_id,source_file,cycle_id,mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,heating_rate_C_min,arrt_peak_temperature_Tp_C,n_points,temp_min_C,temp_max_C,covers_arrt_peak_window,is_truncated,feature_integration_low_C,feature_integration_high_C,feature_peak_low_C,feature_peak_high_C,delta_h_total_rel,delta_h_total_J_g,peak_area_rel,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,onset_temperature_C,kovacs_peak_label,delta_h_total_40_160_rel,delta_h_total_40_160_J_g,peak_area_40_160_rel,peak_area_40_160_J_g,peak_temperature_Tp_40_160_C,peak_height_40_160_uW,onset_temperature_40_160_C,legacy_feature_integration_low_C,legacy_feature_integration_high_C,legacy_feature_peak_low_C,legacy_feature_peak_high_C,recovery_index
onestep_70_001,PS-onestep-02.xlsx,1,single_step,70.0,0.1002,nan,nan,0.1002,10.0,105.696983337402,9950,30.003116607666,196.888031005859,True,False,70.0,105.0,70.0,105.0,-3601.9461443329637,-4.598229120425059,-2554.3750861970293,-3.2609043653579093,104.988632202148,-111.34849045234387,70.0069885253906,0,-12814.457308901321,-16.358881670937855,-5271.198186474554,-6.729189174222834,105.696983337402,-112.6426651642787,70.0069885253906,40.0,160.0,70.0,140.0,0.12357573384831318
onestep_70_002,PS-onestep-02.xlsx,2,single_step,70.0,0.4998,nan,nan,0.4998,10.0,105.96997833252,9952,30.0030250549316,196.925720214844,True,False,70.0,105.0,70.0,105.0,-3548.098636845042,-4.529487621504308,-2509.2407113936933,-3.2032860145451405,104.974952697754,-109.2095379919815,70.0165100097656,0,-12621.852044374114,-16.113002609839292,-2689.4849916442363,-3.433385095716046,139.832626342773,-111.00564326860467,70.0165100097656,40.0,160.0,70.0,140.0,0.12172833108683886
onestep_70_003,PS-onestep-02.xlsx,3,single_step,70.0,0.7979999999999999,nan,nan,0.7979999999999999,10.0,105.307113647461,9955,30.0000057220459,196.932830810547,True,False,70.0,105.0,70.0,105.0,-3397.8815675295846,-4.337721150037767,-2401.5946139471575,-3.0658654646133923,104.986793518066,-104.22461194228799,70.0049362182617,0,-12090.01394206886,-15.434060351577267,-2554.6520589002057,-3.2612579475321772,139.948959350586,-105.51061813408887,70.0049362182617,40.0,160.0,70.0,140.0,0.11657467696949275
onestep_70_004,PS-onestep-02.xlsx,4,single_step,70.0,1.0002,nan,nan,1.0002,10.0,105.959739685059,9955,30.0075225830078,196.954391479492,True,False,70.0,105.0,70.0,105.0,-3265.6179250340556,-4.168873946851986,-2303.8017777343234,-2.941023546043817,104.997756958008,-101.92588336173549,70.0138320922852,0,-11682.753912732773,-14.914153931148217,-4746.496733822199,-6.059357532538977,105.959739685059,-102.59419441653995,70.0138320922852,40.0,160.0,70.0,140.0,0.11203696984453997
onestep_70_005,PS-onestep-02.xlsx,5,single_step,70.0,4.998,nan,nan,4.998,10.0,105.668037414551,9957,30.0069122314453,196.990524291992,True,False,70.0,105.0,70.0,105.0,-2929.6923115106324,-3.740032738098679,-2068.7520744904305,-2.6409600950941665,104.993209838867,-91.85577144131275,70.0012817382813,0,-10329.8397004623,-13.187029404845488,-4263.42198249807,-5.442666360635834,105.668037414551,-92.73454684252806,70.0012817382813,40.0,160.0,70.0,140.0,0.10051201845821392
onestep_70_006,PS-onestep-02.xlsx,6,single_step,70.0,10.020000000000001,nan,nan,10.020000000000001,10.0,105.46305847168,9960,30.0080718994141,197.035903930664,True,False,70.0,105.0,70.0,105.0,-2684.554122246469,-3.427090368825279,-1891.346401496034,-2.4144847678672776,104.991134643555,-84.34061037474726,104.452095031738,0,-9503.003287771573,-12.131493558857327,-3901.0759038312176,-4.980096898507937,105.46305847168,-85.13984529037634,104.452095031738,40.0,160.0,70.0,140.0,0.09210180619553847
onestep_70_007,PS-onestep-02.xlsx,7,single_step,70.0,49.98,nan,nan,49.98,10.0,105.554054260254,9960,30.0082092285156,197.035202026367,True,False,70.0,105.0,70.0,105.0,-2566.7463271336705,-3.276697438894047,-1798.1579692633486,-2.2955208118255515,104.981010437012,-79.39089092114477,nan,0,-8980.578542425239,-11.464568352032218,-3679.9586420935634,-4.6978195430981655,105.554054260254,-80.06981502621261,nan,40.0,160.0,70.0,140.0,0.08806005094691528
onestep_70_008,PS-onestep-02.xlsx,8,single_step,70.0,100.02,nan,nan,100.02,10.0,105.689636230469,9963,30.004487991333,197.069458007813,True,False,70.0,105.0,70.0,105.0,-2365.1670923983684,-3.0193622456149383,-1653.019899917855,-2.1102381701079,104.998207092285,-72.30414398069433,nan,0,-8250.762884938275,-10.532888789282902,-3369.146617875932,-4.3010382355862955,105.689636230469,-73.47909127679168,nan,40.0,160.0,70.0,140.0,0.08114426129798111
onestep_70_009,PS-onestep-02.xlsx,9,single_step,70.0,499.98,nan,nan,499.98,10.0,105.928649902344,9963,30.0094432830811,197.079650878906,True,False,70.0,105.0,70.0,105.0,-2342.6638294927347,-2.9906346759481717,-2342.6638294927347,-2.9906346759481717,87.2810134887695,-72.46973884717715,nan,0,-7868.307072723992,-10.044647326881693,-2828.0095995946567,-3.6102250207591355,87.2810134887695,-72.46973884717715,nan,40.0,160.0,70.0,140.0,0.08037221832007028
onestep_70_010,PS-onestep-02.xlsx,10,single_step,70.0,1000.0200000000001,nan,nan,1000.0200000000001,10.0,95.0078201293945,9965,30.0019874572754,197.113021850586,True,False,70.0,105.0,70.0,105.0,-2299.486631550106,-2.935514848787369,-2299.486631550106,-2.935514848787369,90.8356704711914,-72.29517622050355,nan,0,-7514.098621197023,-9.592466324932369,-2973.4728092485493,-3.7959227352109135,90.8356704711914,-72.29517622050355,nan,40.0,160.0,70.0,140.0,0.07889089302883322
